"date","weekdays","start","stop","deepSleepTime","deepSleepTimePorc","shallowSleepTime","shallowSleepTimePorc","wakeTime","wakeTimePorc","REMTime","REMTimePorc","total","deepSleepTime_time","shallowSleepTime_time","wakeTime_time","REMTime_time","total_time"
"2022-05-30","Monday","2022-05-29 22:50:00+0000","2022-05-30 07:14:00+0000",57,11.4,409,81.8,4,0.8,34,6.8,500,"00:57","06:49","00:04","00:34","08:20"
"2022-05-31","Tuesday","2022-05-30 22:32:00+0000","2022-05-31 05:43:00+0000",101,23.82,295,69.58,7,1.65,28,6.6,424,"01:41","04:55","00:07","00:28","07:04"
"2022-06-01","Wednesday","2022-05-31 23:53:00+0000","2022-06-01 05:53:00+0000",83,23.18,191,53.35,2,0.56,84,23.46,358,"01:23","03:11","00:02","01:24","05:58"
"2022-06-02","Thursday","2022-06-01 23:20:00+0000","2022-06-02 05:30:00+0000",83,22.74,205,56.16,5,1.37,77,21.1,365,"01:23","03:25","00:05","01:17","06:05"
"2022-06-03","Friday","2022-06-02 22:08:00+0000","2022-06-03 05:19:00+0000",90,21.18,290,68.24,6,1.41,45,10.59,425,"01:30","04:50","00:06","00:45","07:05"
"2022-06-04","Saturday","2022-06-03 22:08:00+0000","2022-06-04 05:03:00+0000",86,21.18,269,66.26,9,2.22,51,12.56,406,"01:26","04:29","00:09","00:51","06:46"
"2022-06-05","Sunday","2022-06-05 04:12:00+0000","2022-06-05 09:13:00+0000",66,27.85,114,48.1,64,27,57,24.05,237,"01:06","01:54","01:04","00:57","03:57"
"2022-06-06","Monday","2022-06-05 22:07:00+0000","2022-06-06 07:11:00+0000",134,24.63,277,50.92,0,0,133,24.45,544,"02:14","04:37","00:00","02:13","09:04"
"2022-06-07","Tuesday","2022-06-06 23:07:00+0000","2022-06-07 05:03:00+0000",64,17.98,272,76.4,0,0,20,5.62,356,"01:04","04:32","00:00","00:20","05:56"
"2022-06-08","Wednesday","2022-06-07 23:50:00+0000","2022-06-08 07:02:00+0000",84,19.44,311,71.99,0,0,37,8.56,432,"01:24","05:11","00:00","00:37","07:12"
"2022-06-09","Thursday","2022-06-08 23:35:00+0000","2022-06-09 06:40:00+0000",86,20.33,256,60.52,2,0.47,81,19.15,423,"01:26","04:16","00:02","01:21","07:03"
"2022-06-10","Friday","2022-06-10 00:22:00+0000","2022-06-10 06:52:00+0000",84,21.54,207,53.08,0,0,99,25.38,390,"01:24","03:27","00:00","01:39","06:30"
"2022-06-11","Saturday","2022-06-10 23:13:00+0000","2022-06-11 07:05:00+0000",92,19.91,340,73.59,10,2.16,30,6.49,462,"01:32","05:40","00:10","00:30","07:42"
"2022-06-12","Sunday","2022-06-12 05:43:00+0000","2022-06-12 09:52:00+0000",29,11.69,183,73.79,1,0.4,36,14.52,248,"00:29","03:03","00:01","00:36","04:08"
"2022-06-13","Monday","2022-06-12 23:24:00+0000","2022-06-13 09:11:00+0000",109,18.73,388,66.67,5,0.86,85,14.6,582,"01:49","06:28","00:05","01:25","09:42"
"2022-06-14","Tuesday","2022-06-13 23:50:00+0000","2022-06-14 07:35:00+0000",93,20.13,255,55.19,3,0.65,114,24.68,462,"01:33","04:15","00:03","01:54","07:42"
"2022-06-15","Wednesday","2022-06-15 00:24:00+0000","2022-06-15 07:26:00+0000",112,26.54,273,64.69,0,0,37,8.77,422,"01:52","04:33","00:00","00:37","07:02"
"2022-06-16","Thursday","2022-06-16 00:19:00+0000","2022-06-16 06:55:00+0000",81,20.45,279,70.45,0,0,36,9.09,396,"01:21","04:39","00:00","00:36","06:36"
"2022-06-17","Friday","2022-06-17 00:05:00+0000","2022-06-17 05:52:00+0000",78,22.48,247,71.18,0,0,22,6.34,347,"01:18","04:07","00:00","00:22","05:47"
"2022-06-18","Saturday","2022-06-17 22:54:00+0000","2022-06-18 06:08:00+0000",96,22.27,276,64.04,3,0.7,59,13.69,431,"01:36","04:36","00:03","00:59","07:11"
"2022-06-19","Sunday","2022-06-19 05:17:00+0000","2022-06-19 11:07:00+0000",69,20.35,230,67.85,11,3.24,40,11.8,339,"01:09","03:50","00:11","00:40","05:39"
"2022-06-20","Monday","2022-06-19 23:53:00+0000","2022-06-20 08:00:00+0000",102,21.25,348,72.5,7,1.46,30,6.25,480,"01:42","05:48","00:07","00:30","08:00"
"2022-06-21","Tuesday","2022-06-21 00:56:00+0000","2022-06-21 07:30:00+0000",79,20.15,287,73.21,2,0.51,26,6.63,392,"01:19","04:47","00:02","00:26","06:32"
"2022-06-22","Wednesday","2022-06-22 00:50:00+0000","2022-06-22 06:56:00+0000",75,21.07,213,59.83,10,2.81,68,19.1,356,"01:15","03:33","00:10","01:08","05:56"
"2022-06-23","Thursday","2022-06-23 00:03:00+0000","2022-06-23 07:32:00+0000",49,11.14,323,73.41,9,2.05,68,15.45,440,"00:49","05:23","00:09","01:08","07:20"
"2022-06-24","Friday","2022-06-24 05:17:00+0000","2022-06-24 10:11:00+0000",49,16.67,199,67.69,0,0,46,15.65,294,"00:49","03:19","00:00","00:46","04:54"
"2022-06-25","Saturday","2022-06-25 00:28:00+0000","2022-06-25 08:16:00+0000",102,21.79,257,54.91,0,0,109,23.29,468,"01:42","04:17","00:00","01:49","07:48"
"2022-06-26","Sunday","2022-06-24 22:00:00+0000","2022-06-24 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-06-27","Monday","2022-06-26 22:11:00+0000","2022-06-27 09:43:00+0000",145,21.32,368,54.12,12,1.76,167,24.56,680,"02:25","06:08","00:12","02:47","11:20"
"2022-06-28","Tuesday","2022-06-27 23:12:00+0000","2022-06-28 05:56:00+0000",82,20.76,271,68.61,9,2.28,42,10.63,395,"01:22","04:31","00:09","00:42","06:35"
"2022-06-29","Wednesday","2022-06-29 00:19:00+0000","2022-06-29 05:11:00+0000",32,12.08,153,57.74,27,10.19,80,30.19,265,"00:32","02:33","00:27","01:20","04:25"
"2022-06-30","Thursday","2022-06-29 23:00:00+0000","2022-06-30 04:06:00+0000",63,20.59,210,68.63,0,0,33,10.78,306,"01:03","03:30","00:00","00:33","05:06"
"2022-07-01","Friday","2022-07-01 05:28:00+0000","2022-07-01 09:43:00+0000",26,11.26,124,53.68,24,10.39,81,35.06,231,"00:26","02:04","00:24","01:21","03:51"
"2022-07-02","Saturday","2022-07-01 23:01:00+0000","2022-07-02 08:54:00+0000",141,24.02,327,55.71,6,1.02,119,20.27,587,"02:21","05:27","00:06","01:59","09:47"
"2022-07-03","Sunday","2022-07-01 22:00:00+0000","2022-07-01 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-04","Monday","2022-07-03 21:33:00+0000","2022-07-04 08:01:00+0000",141,22.56,376,60.16,3,0.48,108,17.28,625,"02:21","06:16","00:03","01:48","10:25"
"2022-07-05","Tuesday","2022-07-03 22:00:00+0000","2022-07-03 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-06","Wednesday","2022-07-05 21:01:00+0000","2022-07-06 07:10:00+0000",67,11,461,75.7,0,0,81,13.3,609,"01:07","07:41","00:00","01:21","10:09"
"2022-07-07","Thursday","2022-07-06 22:36:00+0000","2022-07-07 08:08:00+0000",135,25.28,344,64.42,38,7.12,55,10.3,534,"02:15","05:44","00:38","00:55","08:54"
"2022-07-08","Friday","2022-07-08 00:25:00+0000","2022-07-08 07:21:00+0000",74,17.87,284,68.6,2,0.48,56,13.53,414,"01:14","04:44","00:02","00:56","06:54"
"2022-07-09","Saturday","2022-07-08 22:40:00+0000","2022-07-09 06:04:00+0000",95,21.4,318,71.62,0,0,31,6.98,444,"01:35","05:18","00:00","00:31","07:24"
"2022-07-10","Sunday","2022-07-08 22:00:00+0000","2022-07-08 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-11","Monday","2022-07-10 21:41:00+0000","2022-07-11 08:47:00+0000",175,26.36,361,54.37,2,0.3,128,19.28,664,"02:55","06:01","00:02","02:08","11:04"
"2022-07-12","Tuesday","2022-07-11 23:43:00+0000","2022-07-12 08:57:00+0000",120,21.74,378,68.48,2,0.36,54,9.78,552,"02:00","06:18","00:02","00:54","09:12"
"2022-07-13","Wednesday","2022-07-12 22:16:00+0000","2022-07-13 02:44:00+0000",64,23.88,161,60.07,0,0,43,16.04,268,"01:04","02:41","00:00","00:43","04:28"
"2022-07-14","Thursday","2022-07-14 04:27:00+0000","2022-07-14 07:36:00+0000",14,7.41,139,73.54,0,0,36,19.05,189,"00:14","02:19","00:00","00:36","03:09"
"2022-07-15","Friday","2022-07-13 22:00:00+0000","2022-07-13 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-16","Saturday","2022-07-14 22:00:00+0000","2022-07-14 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-17","Sunday","2022-07-17 05:55:00+0000","2022-07-17 06:44:00+0000",0,0,41,83.67,0,0,8,16.33,49,"00:00","00:41","00:00","00:08","00:49"
"2022-07-18","Monday","2022-07-17 23:01:00+0000","2022-07-18 08:57:00+0000",131,22.02,389,65.38,1,0.17,75,12.61,595,"02:11","06:29","00:01","01:15","09:55"
"2022-07-19","Tuesday","2022-07-18 23:44:00+0000","2022-07-19 08:10:00+0000",119,23.61,260,51.59,2,0.4,125,24.8,504,"01:59","04:20","00:02","02:05","08:24"
"2022-07-20","Wednesday","2022-07-19 23:30:00+0000","2022-07-20 07:12:00+0000",84,18.3,258,56.21,3,0.65,117,25.49,459,"01:24","04:18","00:03","01:57","07:39"
"2022-07-21","Thursday","2022-07-21 05:33:00+0000","2022-07-21 08:15:00+0000",28,17.28,126,77.78,0,0,8,4.94,162,"00:28","02:06","00:00","00:08","02:42"
"2022-07-22","Friday","2022-07-21 23:21:00+0000","2022-07-22 09:17:00+0000",126,22.22,377,66.49,29,5.11,64,11.29,567,"02:06","06:17","00:29","01:04","09:27"
"2022-07-23","Saturday","2022-07-22 22:43:00+0000","2022-07-23 09:09:00+0000",63,10.34,435,71.43,17,2.79,111,18.23,609,"01:03","07:15","00:17","01:51","10:09"
"2022-07-24","Sunday","2022-07-22 22:00:00+0000","2022-07-22 22:00:00+0000",0,NA,0,NA,0,NA,0,NA,0,"00:00","00:00","00:00","00:00","00:00"
"2022-07-25","Monday","2022-07-24 23:29:00+0000","2022-07-25 07:04:00+0000",96,21.1,263,57.8,0,0,96,21.1,455,"01:36","04:23","00:00","01:36","07:35"
"2022-07-26","Tuesday","2022-07-25 21:49:00+0000","2022-07-26 07:51:00+0000",131,23.14,315,55.65,36,6.36,120,21.2,566,"02:11","05:15","00:36","02:00","09:26"
"2022-07-27","Wednesday","2022-07-26 21:48:00+0000","2022-07-27 03:20:00+0000",64,19.81,186,57.59,9,2.79,73,22.6,323,"01:04","03:06","00:09","01:13","05:23"
"2022-07-28","Thursday","2022-07-27 21:45:00+0000","2022-07-28 03:32:00+0000",83,23.92,201,57.93,0,0,63,18.16,347,"01:23","03:21","00:00","01:03","05:47"
"2022-07-29","Friday","2022-07-28 22:53:00+0000","2022-07-29 04:46:00+0000",73,20.68,223,63.17,0,0,57,16.15,353,"01:13","03:43","00:00","00:57","05:53"
"2022-07-30","Saturday","2022-07-29 22:27:00+0000","2022-07-30 04:36:00+0000",77,21.57,219,61.34,12,3.36,61,17.09,357,"01:17","03:39","00:12","01:01","05:57"
"2022-07-31","Sunday","2022-07-30 22:03:00+0000","2022-07-31 02:51:00+0000",50,17.36,191,66.32,0,0,47,16.32,288,"00:50","03:11","00:00","00:47","04:48"
