date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-03-17,87,250,6,2022-03-16 23:54:00+0000,2022-03-17 07:01:00+0000,84,
2022-03-18,92,263,4,2022-03-18 00:42:00+0000,2022-03-18 07:04:00+0000,23,
2022-03-19,55,264,33,2022-03-19 01:28:00+0000,2022-03-19 08:29:00+0000,69,
2022-03-20,22,168,19,2022-03-20 06:53:00+0000,2022-03-20 11:07:00+0000,45,
2022-03-21,88,289,1,2022-03-20 23:24:00+0000,2022-03-21 06:11:00+0000,29,
2022-03-22,80,197,7,2022-03-21 23:38:00+0000,2022-03-22 06:00:00+0000,98,
2022-03-23,61,280,16,2022-03-22 23:54:00+0000,2022-03-23 06:17:00+0000,26,
2022-03-24,23,98,16,2022-03-24 00:23:00+0000,2022-03-24 03:13:00+0000,33,
2022-03-25,119,283,27,2022-03-24 22:26:00+0000,2022-03-25 07:29:00+0000,114,
2022-03-26,104,342,38,2022-03-25 23:31:00+0000,2022-03-26 08:12:00+0000,37,
2022-03-27,0,0,0,2022-03-25 23:00:00+0000,2022-03-25 23:00:00+0000,0,
2022-03-28,79,320,16,2022-03-27 22:00:00+0000,2022-03-28 05:21:00+0000,26,
2022-03-29,108,161,3,2022-03-28 23:25:00+0000,2022-03-29 05:20:00+0000,83,
2022-03-30,100,248,12,2022-03-29 23:41:00+0000,2022-03-30 05:59:00+0000,18,
2022-03-31,77,261,4,2022-03-30 22:54:00+0000,2022-03-31 05:00:00+0000,24,
2022-04-01,74,297,6,2022-03-31 23:12:00+0000,2022-04-01 06:12:00+0000,43,
2022-04-02,84,304,17,2022-04-01 23:16:00+0000,2022-04-02 06:31:00+0000,30,
2022-04-03,53,136,25,2022-04-03 05:48:00+0000,2022-04-03 10:06:00+0000,44,
2022-04-04,74,299,9,2022-04-03 22:20:00+0000,2022-04-04 05:11:00+0000,29,
2022-04-05,36,303,3,2022-04-04 22:44:00+0000,2022-04-05 05:05:00+0000,39,
2022-04-06,102,332,33,2022-04-05 21:50:00+0000,2022-04-06 06:45:00+0000,68,
2022-04-07,54,339,12,2022-04-06 23:14:00+0000,2022-04-07 07:15:00+0000,76,
2022-04-08,113,296,27,2022-04-07 22:28:00+0000,2022-04-08 07:17:00+0000,93,
2022-04-09,113,286,52,2022-04-08 21:26:00+0000,2022-04-09 06:13:00+0000,76,
2022-04-10,46,180,7,2022-04-10 05:49:00+0000,2022-04-10 10:00:00+0000,18,
2022-04-11,86,393,4,2022-04-10 21:32:00+0000,2022-04-11 06:29:00+0000,54,
2022-04-12,97,269,3,2022-04-11 22:11:00+0000,2022-04-12 06:29:00+0000,129,
